"hh_refno","Maize_yield","phosphorous","sulfur","pH","Clay","Ca","Mg","K","C_capacity","Al_exc","Al_sat","Mg_indicator","K_indicator","P_indicator","S_indicator","Ca_indicator","farmproc_ph_indicator","soil_fertility_indicator","C_deficit_indicator","N_PNB","P_PNB","K_PNB","N_added","P_added","K_added","N_PNBI","P_PNBI","K_PNBI","all_PNBI","lands_eplot","landscape_no","eplot_no","Carbon_storage","Water_storage","Nutrient_supply"
"TZA-L03-H01",3953.68,16.45338417,10.21853847,6.177132778,66.12333223,7.749297705,3.03473539333333,0.869093525641026,86.8710214590725,0.299911139,2.50907882119307,0.0331115325866666,0.167,0.077237673939,0.087149592449,0.167,0.167,0.698498798974667,1,-31.4194273204301,-7.11492349247312,-9.74220762150538,0,0,0,0.222,0.250073422222222,0.333,0.805073422222222,"L03 _ 2","L03",2,0.681936118967479,0.651343239894442,0.209177041162968
"TZA-L03-H02",658.946666666667,13.96855133,9.344651,5.932054667,59.21073567,7.364186167,2.333377299,0.565752248,90.3164699547698,0.304489633,2.88129486683286,0.010668073568,0.11704071936,0.060589293911,0.0725556717,0.167,0.167,0.594853758539,1,19.0487399005376,9.63894607329749,42.254466104086,39.5368,13.7785748,47.6777565933333,0.183726384080048,0.222,0.222,0.627726384080048,"L03 _ 8","L03",8,0.431219691186146,0.605266097202486,0.381486029000171
"TZA-L03-H03",956.535483870968,5.09614,7.925313667,5.429048,63.908903,2.649821267,1.369210737,0.406004091,39.5171016090508,0.251113367,5.37008855342699,0,0.06592130912,0.001144138,0.0488527382389,0.020794280544,0.155151016,0.2918634819029,0,-18.8458746666667,-4.49604801888889,-4.4749974185,0.98842,0.34446437,1.19194391483333,0.305898977777778,0.321180188888889,0.333,0.960079166666667,"L03 _ 8","L03",8,0.431219691186146,0.605266097202486,0.381486029000171
"TZA-L03-H04",1297.30125,13.86252333,8.758186333,5.766974,38.00696967,6.023928167,2.097586015,0.521474391,77.6187014064548,0.2971077,3.32331656088867,0.00312275248,0.10287180512,0.059878906311,0.0627617117611,0.128765701344,0.167,0.5244008770161,0.920623118152821,-21.794661,-5.318935125,-6.227046,0,0,0,0.313392655555556,0.326245886111111,0.333,0.972638541666667,"L03 _ 3","L03",3,0.740061669309737,0.44916569236899,0.226613925571274
"TZA-L03-H05",1031.3947826087,13.65820067,9.114984333,5.696372667,48.54270467,5.558286833,1.718254202,0.499439802,91.154821242842,0.3161731,3.90715627089534,0,0.09582073664,0.058509944489,0.0687202383611,0.113865178656,0.167,0.5039160981461,1,-17.3274323478261,-4.22871860869565,-4.95069495652174,0,0,0,0.333,0.333,0.333,0.999,"L03 _ 4","L03",4,0.674438023882247,0.408986896034412,0.139124300664921
"TZA-L03-H06",1392.77363636364,10.93247367,8.283059,5.909225667,47.16546367,6.610211667,2.602187721,0.549506295,62.2595695072838,0.264280833,2.6359058110305,0.019270007072,0.1118420144,0.040247573589,0.0548270853,0.147526773344,0.167,0.540713453705,0.408652106044228,-30.8123461333333,-7.51967971111111,-8.80352746666667,0,0,0,0.20461277037037,0.27221222962963,0.333,0.809825,"L03 _ 3","L03",3,0.740061669309737,0.44916569236899,0.226613925571274
"TZA-L03-H07",1514.86108695652,9.228502,8.623521667,5.769451667,43.36545467,5.747224333,1.945289395,0.481019611,64.7208407478061,0.252678867,2.99872422890177,0,0.08992627552,0.0288309634,0.0605128118389,0.119911178656,0.167,0.4661812294149,0.490694472524069,-24.1125510039113,-5.66695271670143,-4.97179928254824,2.08380070404172,0.72620454535854,2.51287263400978,0.233390497677338,0.287746867481481,0.333,0.85413736515882,"L03 _ 4","L03",4,0.674438023882247,0.408986896034412,0.139124300664921
"TZA-L03-H08",249.181512605042,11.228065,8.552231667,5.709355667,44.17366733,6.4195945,2.431786354,0.508499506,74.2572170292493,0.272759467,2.83161700114089,0.013817163328,0.09871984192,0.0422280355,0.0593222688389,0.141427024,0.167,0.5225143335869,0.808573650117588,-7.23723120808081,-1.67572134141414,-1.87773508693603,0.399361616161616,0.139177523232323,0.481593500942761,0.333,0.333,0.333,0.999,"L03 _ 4","L03",4,0.674438023882247,0.408986896034412,0.139124300664921
"TZA-L03-H09",2223.945,12.007441,9.016864,5.966027667,52.06603767,7.678594333,2.695576441,0.672987897,92.7853524910337,0.279260033,2.4655633903184,0.022258446112,0.15135612704,0.0474498547,0.0670816288,0.167,0.167,0.622146056652,1,-36.4756932121212,-7.52603954484848,0.561293765878785,11.86104,4.13357244,14.303326978,0.203932651851852,0.251499339407407,0.333,0.788431991259259,"L03 _ 2","L03",2,0.681936118967479,0.651343239894442,0.209177041162968
"TZA-L03-H10",1059.02142857143,9.519340667,8.421879667,5.493453667,40.07087733,2.243561967,1.237836068,0.479018944,42.3921421684742,0.3333783,7.76418711973715,0,0.08928606208,0.0307795824689,0.0571453904389,0.00779398294400001,0.165906762389,0.3509117803208,0,-6.35412857142857,-0.356043004285713,8.7091910145,11.4374314285714,3.98594485285714,13.7924938716429,0.333,0.333,0.333,0.999,"L03 _ 10","L03",10,0.565502197725713,0.442890964186888,0.0401554893239978
"TZA-L03-H11",1976.84,17.819316,10.06186033,5.973378333,48.82350333,7.942260833,3.079103007,0.824417813,84.3125099699134,0.352632667,2.89080742586222,0.034531296224,0.167,0.0863894172,0.084533067511,0.167,0.167,0.706453780935,1,-33.210912,-8.105044,-9.488832,0,0,0,0.186545422222222,0.264332355555556,0.333,0.783877777777778,"L03 _ 3","L03",3,0.740061669309737,0.44916569236899,0.226613925571274
