"hh_refno","ave_precip","dist_water_bodies","Shannon_tree","richness_tree","Slope","Elevation","dist_forest","Male_Female_ratio","hhmembers","hh_dep_ratio","literacy_rate","leveledu","hh_labor_days","Info_network","market_network","ag_implements","water_inf","farm_structures","comm_inf","dist_cell_wifi_tower","transp_inf","dist_main_roads","dist_any_roads","time_field_travel","wage_entry_n","liv_sale_number","house_tenure_n","house_walls_n","house_roof_n","house_floor_n","house_san_n","house_electricity_n","house_water_n","house_fuel_cook_n","house_fuel_light_n","hh_microf_n","landsize","farm_type","fields","CIF","Maize_yield","lands_eplot","landscape_no","eplot_no","phosphorous","sulfur","pH","Clay","Ca","Mg","K","C_capacity","Al_exc","Al_sat","Mg_indicator","K_indicator","P_indicator","S_indicator","Ca_indicator","farmproc_ph_indicator","soil_fertility_indicator","C_deficit_indicator","N_PNB","P_PNB","K_PNB","N_added","P_added","K_added","N_PNBI","P_PNBI","K_PNBI","all_PNBI","Carbon_storage","Soil_fertility","Water_storage","Nutrient_supply","Maize_yield_class"
"TZA-L03-H01",1003.305556,13.46291161,0.171900500778866,1.21,1.012750387,1986,2.304886103,1.5,5,0.6,0.4,2,29.7333333333333,4,0,9,3,2,1,9.905806541,1,11.16355705,1.25,31.3333333333333,0,3,4,3,4,1,2,1,5,1,3,1,8,2,4,1,3953.68,"L03 _ 2","L03",2,16.45338417,10.21853847,6.177132778,66.12333223,7.749297705,3.03473539333333,0.869093525641026,86.8710214590725,0.299911139,2.50907882119307,0.0331115325866666,0.167,0.077237673939,0.087149592449,0.167,0.167,0.698498798974667,1,-31.4194273204301,-7.11492349247312,-9.74220762150538,0,0,0,0.222,0.250073422222222,0.333,0.805073422222222,0.681936118967479,0.659576792921507,0.651343239894442,0.672120155768604,"2"
"TZA-L03-H02",993,18.11249542,0.90285083728063,2.58,5.661018372,2207,0.5,1,2,0.5,1,1,8,4,1,13,3,2,2,6.950719357,2,7.63216877,0.559017003,2.33666666666667,0,0,4,2,1,1,2,1,1,1,3,1,2,1,4,1,658.946666666667,"L03 _ 8","L03",8,13.96855133,9.344651,5.932054667,59.21073567,7.364186167,2.333377299,0.565752248,90.3164699547698,0.304489633,2.88129486683286,0.010668073568,0.11704071936,0.060589293911,0.0725556717,0.167,0.167,0.594853758539,1,19.0487399005376,9.63894607329749,42.254466104086,39.5368,13.7785748,47.6777565933333,0.183726384080048,0.222,0.222,0.627726384080048,0.431219691186146,0.513059427830129,0.605266097202486,0.567233904667131,"0"
"TZA-L03-H03",993,18.11249542,0.90285083728063,2.58,5.661018372,2207,0.5,1.33333333333333,7,0.428571428571429,1,1,19.7142857142857,4,0,11,3,2,4,6.950719357,2,7.63216877,0.559017003,47.5,0,6,4,3,4,1,2,1,2,1,3,1,5,2,5,1,956.535483870968,"L03 _ 8","L03",8,5.09614,7.925313667,5.429048,63.908903,2.649821267,1.369210737,0.406004091,39.5171016090508,0.251113367,5.37008855342699,0,0.06592130912,0.001144138,0.0488527382389,0.020794280544,0.155151016,0.2918634819029,0,-18.8458746666667,-4.49604801888889,-4.4749974185,0.98842,0.34446437,1.19194391483333,0.305898977777778,0.321180188888889,0.333,0.960079166666667,0.431219691186146,0.513059427830129,0.605266097202486,0.567233904667131,"0"
"TZA-L03-H04",966,8.867074013,0,0.966,5.765912056,2098,5.05593729,1,2,0.5,1,1,32,2,0,6,3,1,4,9.340770721,2,8.077747345,1.581138849,0,0,5,4,3,1,2,2,1,1,1,3,1,1,1,2,1,1297.30125,"L03 _ 3","L03",3,13.86252333,8.758186333,5.766974,38.00696967,6.023928167,2.097586015,0.521474391,77.6187014064548,0.2971077,3.32331656088867,0.00312275248,0.10287180512,0.059878906311,0.0627617117611,0.128765701344,0.167,0.5244008770161,0.920623118152821,-21.794661,-5.318935125,-6.227046,0,0,0,0.313392655555556,0.326245886111111,0.333,0.972638541666667,0.740061669309737,0.575666222480925,0.44916569236899,0.573005053722295,"0"
"TZA-L03-H05",916.9444444,12.85009766,0,0.446,0.773976266,2071,3.605551243,1,2,0.550992063492064,1,1,47,4,1,8,3,2,3,6.36396122,1,7.826238155,1.030776381,0,0,0,4,1,1,1,2,1,5,1,3,1,7,2,2,1,1031.3947826087,"L03 _ 4","L03",4,13.65820067,9.114984333,5.696372667,48.54270467,5.558286833,1.718254202,0.499439802,91.154821242842,0.3161731,3.90715627089534,0,0.09582073664,0.058509944489,0.0687202383611,0.113865178656,0.167,0.5039160981461,1,-17.3274323478261,-4.22871860869565,-4.95069495652174,0,0,0,0.333,0.333,0.333,0.999,0.674438023882247,0.50002507126036,0.408986896034412,0.626753306107446,"0"
"TZA-L03-H06",966,8.867074013,0,0.966,5.765912056,2098,5.05593729,1,4,0.5,0.5,1,18,4,0,5,3,1,4,9.340770721,1,8.077747345,1.581138849,67.4,1,3,4,3,1,1,2,1,1,1,3,1,3,1,6,1,1392.77363636364,"L03 _ 3","L03",3,10.93247367,8.283059,5.909225667,47.16546367,6.610211667,2.602187721,0.549506295,62.2595695072838,0.264280833,2.6359058110305,0.019270007072,0.1118420144,0.040247573589,0.0548270853,0.147526773344,0.167,0.540713453705,0.408652106044228,-30.8123461333333,-7.51967971111111,-8.80352746666667,0,0,0,0.20461277037037,0.27221222962963,0.333,0.809825,0.740061669309737,0.575666222480925,0.44916569236899,0.573005053722295,"0"
"TZA-L03-H07",916.9444444,12.85009766,0,0.446,0.773976266,2071,3.605551243,1.08290816326531,2,0.5,1,3,13.6666666666667,2,0,15,3,2,4,6.36396122,2,7.826238155,1.030776381,0,1,0,4,2,4,1,2,1,1,1,3,1,13,3,6,1,1514.86108695652,"L03 _ 4","L03",4,9.228502,8.623521667,5.769451667,43.36545467,5.747224333,1.945289395,0.481019611,64.7208407478061,0.252678867,2.99872422890177,0,0.08992627552,0.0288309634,0.0605128118389,0.119911178656,0.167,0.4661812294149,0.490694472524069,-24.1125510039113,-5.66695271670143,-4.97179928254824,2.08380070404172,0.72620454535854,2.51287263400978,0.233390497677338,0.287746867481481,0.333,0.85413736515882,0.674438023882247,0.50002507126036,0.408986896034412,0.626753306107446,"1"
"TZA-L03-H08",916.9444444,12.85009766,0,0.446,0.773976266,2071,3.605551243,2,9,0.777777777777778,0.222222222222222,0,15.5555555555556,4,1,12,3,1,4,6.36396122,1,7.826238155,1.030776381,5.33333333333333,0,0,4,3,3,1,2,1,1,1,3,1,6,2,4,1,249.181512605042,"L03 _ 4","L03",4,11.228065,8.552231667,5.709355667,44.17366733,6.4195945,2.431786354,0.508499506,74.2572170292493,0.272759467,2.83161700114089,0.013817163328,0.09871984192,0.0422280355,0.0593222688389,0.141427024,0.167,0.5225143335869,0.808573650117588,-7.23723120808081,-1.67572134141414,-1.87773508693603,0.399361616161616,0.139177523232323,0.481593500942761,0.333,0.333,0.333,0.999,0.674438023882247,0.50002507126036,0.408986896034412,0.626753306107446,"0"
"TZA-L03-H09",1003.305556,13.46291161,0.171900500778866,1.21,1.012750387,1986,2.304886103,2.5,7,0.285714285714286,0.857142857142857,1,38.1428571428571,4,0,16,3,3,3,9.905806541,2,11.16355705,1.25,14.25,0,1,4,3,4,1,2,1,1,1,3,1,6,2,5,1,2223.945,"L03 _ 2","L03",2,12.007441,9.016864,5.966027667,52.06603767,7.678594333,2.695576441,0.672987897,92.7853524910337,0.279260033,2.4655633903184,0.022258446112,0.15135612704,0.0474498547,0.0670816288,0.167,0.167,0.622146056652,1,-36.4756932121212,-7.52603954484848,0.561293765878785,11.86104,4.13357244,14.303326978,0.203932651851852,0.251499339407407,0.333,0.788431991259259,0.681936118967479,0.659576792921507,0.651343239894442,0.672120155768604,"1"
"TZA-L03-H10",893.1388889,14.02007484,0.288349227112937,1.392,3.603057623,2097,2.304886103,2,9,0.555555555555556,0.777777777777778,1,30.1111111111111,4,0,17,3,2,3,5.963430405,2,7.603453159,0.25,0,0,3,4,3,4,1,2,1,2,1,3,1,1,1,2,1,1059.02142857143,"L03 _ 10","L03",10,9.519340667,8.421879667,5.493453667,40.07087733,2.243561967,1.237836068,0.479018944,42.3921421684742,0.3333783,7.76418711973715,0,0.08928606208,0.0307795824689,0.0571453904389,0.007793982944,0.165906762389,0.3509117803208,0,-6.35412857142857,-0.356043004285713,8.7091910145,11.4374314285714,3.98594485285714,13.7924938716429,0.333,0.333,0.333,0.999,0.565502197725713,0.552477761605305,0.442890964186888,0.775081389218472,"0"
